"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,5 years,36275,36689,33664,31702,31785,30323,29307,27218,27343,26288,26936,27896,28854,29437,30750,31898,33281,33807,35589,35286,36430,36592,35375,35272,34500,34256,34585,33562,33269,33513,33465,33361
 , ,6 years,36550,36293,36618,33650,31711,31787,30395,29376,27323,27388,26358,27019,27992,28973,29492,30863,32202,33469,33904,35687,35325,36573,36720,35469,35313,34502,34189,34582,33615,33328,33553,33556
 , ,7 years,38221,36529,36234,36602,33650,31742,31836,30463,29455,27313,27436,26423,27136,28136,29058,29539,31123,32368,33577,33970,35730,35447,36684,36804,35522,35305,34507,34181,34593,33661,33373,33579
 , ,8 years,38484,38218,36480,36194,36565,33676,31756,31929,30541,29453,27373,27502,26497,27188,28192,29151,29823,31305,32481,33716,34018,35825,35547,36789,36850,35501,35267,34472,34174,34634,33671,33427
 , ,9 years,36180,38485,38191,36458,36210,36577,33684,31821,32014,30579,29540,27440,27609,26602,27260,28304,29405,29993,31405,32578,33765,34125,35939,35626,36796,36846,35502,35271,34534,34232,34689,33693
 , ,10 years,36498,36201,38479,38180,36449,36235,36630,33744,31904,32051,30629,29636,27558,27730,26672,27348,28565,29553,30101,31485,32654,33875,34265,36026,35701,36823,36842,35509,35332,34601,34294,34729
 , ,11 years,37985,36511,36200,38455,38202,36470,36269,36676,33836,31903,32083,30719,29760,27661,27794,26755,27651,28731,29651,30189,31586,32768,34038,34398,36089,35742,36826,36845,35555,35378,34644,34343
 , ,12 years,41131,38026,36517,36184,38471,38223,36516,36356,36756,33878,31956,32148,30795,29860,27727,27874,27002,27790,28791,29765,30246,31698,32936,34172,34462,36125,35749,36867,36924,35631,35439,34687
 , ,13 years,44601,41124,38023,36514,36200,38501,38259,36569,36439,36835,33951,32054,32219,30894,29958,27791,28103,27140,27860,28903,29807,30365,31854,33065,34256,34526,36126,35780,36875,36995,35681,35511
 , ,14 years,43190,44648,41106,38031,36518,36241,38516,38323,36667,36489,36853,33983,32150,32355,31004,30035,28023,28254,27232,27955,28975,29946,30484,31961,33171,34315,34503,36189,35822,36956,37062,35737
 , ,15 years,42181,43276,44685,41135,38044,36570,36317,38613,38434,36783,36614,36963,34097,32252,32467,31102,30289,28177,28373,27362,28028,29107,30124,30617,32071,33247,34392,34545,36271,35943,37064,37173
 , ,16 years,41521,42272,43297,44708,41198,38120,36701,36485,38703,38502,36856,36692,37068,34244,32354,32561,31371,30429,28265,28508,27470,28144,29272,30262,30737,32135,33291,34472,34634,36487,36169,37315
