"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","14 years",33740,33040,33185,33581,32872,32152,32753,32976,33113,33429,33208,33853
" "," ","15 years",34011,33883,33186,33376,33794,33066,32349,32950,33125,33302,33593,33711
" "," ","16 years",35357,34179,34107,33517,33665,34135,33364,32645,33173,33386,33610,34258
" "," ","17 years",35773,35379,34332,34221,33715,33852,34278,33437,32744,33260,33499,33983
" "," ","18 years",34511,35919,35572,34540,34588,34048,34116,34494,33614,32896,33560,34028
" "," ","19 years",35208,35047,36519,36161,35234,35260,34594,34615,34983,34019,33619,34242
" "," ","20 years",34738,36018,35843,37231,37425,36333,36409,35472,35304,35541,34911,34640
" "," ","21 years",35208,35457,36950,36637,38426,38288,37320,37047,36089,35685,36594,36102
" "," ","22 years",34497,35693,35939,37421,37463,39191,38954,37850,37418,36385,36623,37710
" "," ","23 years",33734,35150,36357,36619,38339,38338,39917,39511,38262,37901,37345,37713
" "," ","24 years",32477,34257,35590,36898,37498,39038,39033,40463,39864,38523,38445,38246
" "," ","25 years",32421,32926,34651,35995,37556,38096,39476,39340,40510,39855,38875,39261
" "," ","26 years",31914,32701,33293,34954,36601,37926,38400,39656,39252,40414,40031,39537
" "," ","27 years",30904,32152,32955,33564,35444,37003,38250,38599,39611,39135,40664,40697
" "," ","28 years",30571,31056,32393,33090,33997,35869,37212,38469,38593,39520,39336,41269
" "," ","29 years",30953,30640,31216,32594,33513,34241,36093,37394,38436,38508,39714,39979
" "," ","30 years",31098,30969,30765,31325,32966,33792,34434,36170,37393,38334,38567,40369
" "," ","31 years",33031,31121,31092,30922,31678,33241,33879,34504,36056,37336,38424,39297
" "," ","32 years",33569,33060,31265,31237,31209,31899,33446,34043,34463,36024,37479,39125
" "," ","33 years",34478,33648,33202,31500,31567,31450,32033,33575,34014,34476,36175,38229
" "," ","34 years",34407,34576,33804,33359,31811,31857,31638,32136,33585,34101,34610,36863
" "," ","35 years",35631,34498,34717,33954,33672,32026,32061,31713,32167,33657,34316,35271
" "," ","36 years",38978,35679,34624,34855,34236,33886,32185,32171,31710,32232,33762,35065
" "," ","37 years",38279,39081,35811,34791,35108,34399,34016,32245,32197,31747,32426,34414
" "," ","38 years",38202,38333,39194,35921,34989,35279,34502,34102,32275,32229,31889,33040
" "," ","39 years",39937,38252,38388,39303,36096,35151,35389,34598,34136,32369,32343,32525
" "," ","40 years",39064,39996,38329,38523,39471,36236,35185,35476,34606,34245,32495,32959
" "," ","41 years",37669,39131,40013,38379,38676,39565,36340,35285,35548,34652,34341,33074
" "," ","42 years",37325,37693,39193,40122,38507,38766,39649,36425,35315,35629,34791,34928
" "," ","43 years",38482,37366,37741,39262,40257,38601,38881,39720,36466,35368,35704,35196
" "," ","44 years",41361,38507,37403,37828,39340,40372,38681,38946,39739,36554,35474,36113
" "," ","45 years",44238,41341,38540,37424,37920,39403,40445,38711,38986,39811,36644,35869
" "," ","46 years",42939,44261,41353,38619,37480,37983,39442,40455,38742,39080,39867,36988
" "," ","47 years",41703,42912,44259,41402,38691,37470,38038,39491,40482,38799,39156,40174
" "," ","48 years",41058,41671,42905,44269,41450,38726,37502,38048,39494,40520,38868,39446
" "," ","49 years",38761,40980,41653,42868,44273,41452,38736,37540,38040,39533,40598,39144
" "," ","50 years",37693,38708,40964,41622,42863,44255,41432,38755,37517,38062,39537,40861
" "," ","51 years",37594,37645,38655,40904,41571,42861,44208,41424,38723,37528,38074,39697
" "," ","52 years",36171,37500,37599,38599,40878,41523,42823,44139,41382,38712,37515,38270
" "," ","53 years",36218,36056,37419,37533,38541,40805,41442,42760,44070,41377,38725,37684
" "," ","54 years",35880,36127,35937,37339,37479,38468,40743,41410,42681,44030,41348,38889
" "," ","55 years",36113,35761,36055,35825,37224,37370,38407,40618,41290,42587,43974,41473
" "," ","56 years",35421,35963,35615,35953,35726,37144,37273,38305,40491,41235,42515,44075
" "," ","57 years",34972,35260,35819,35505,35819,35620,37024,37142,38166,40363,41143,42590
" "," ","58 years",35296,34805,35111,35690,35379,35689,35508,36882,37049,38061,40275,41207
" "," ","59 years",34585,35129,34638,34993,35535,35207,35547,35376,36723,36934,37922,40335
" "," ","60 years",33699,34380,34935,34485,34807,35371,35051,35358,35205,36530,36785,37982
